,OS,CPU_Threads,CPU_Boosted_Clock,CPU_L3(MB),CPU_TDP(W),GPU_Memory(GB),GPU_Memory_Type,GPU memory clock(MHz),RAM(GB),RAM_DDR,Storage(GB),Display_Inch,Display_Height(pixel),Weight(kg)
1509,Windows,16,4.4,16,45,6,GDDR6,1750,16,4,512,17.3,1920,2.6
417,Windows,20,4.7,24,45,8,GDDR6,1750,32,5,1024,16.1,2560,2.29
1655,Windows,16,5.0,24,45,8,GDDR6,1750,32,4,512,17.3,3840,2.766
757,Windows,20,5.0,24,45,6,GDDR6,1750,16,4,512,15.6,1920,2.301
1113,Windows,16,5.0,16,45,8,GDDR6,1750,32,4,1024,17.3,1920,3.027
592,Windows,16,4.9,16,45,6,GDDR6,1750,32,4,1024,16.0,2560,2.08
382,Windows,8,4.4,8,28,0,,0,16,4,512,14.0,1920,1.52
754,Windows,20,4.7,24,45,8,GDDR6,1750,16,4,1024,17.3,1920,2.72
1086,Windows,8,4.7,12,28,0,,0,16,4,256,16.0,2560,1.19
1480,Windows,12,4.0,8,15,0,,0,16,4,1024,17.3,1920,2.3
1187,Windows,16,5.3,16,45,8,GDDR6,1750,32,4,1024,15.6,1920,2.38
1356,Windows,8,3.8,4,15,0,,0,8,4,256,15.6,1920,1.8
61,Windows,20,4.7,24,45,8,GDDR6,1750,16,4,1024,16.0,2560,2.4
762,Windows,16,4.9,24,35,16,GDDR6,1750,64,4,1024,15.6,1920,2.1
1580,Windows,8,4.8,12,28,0,,0,16,4,512,13.4,3456,1.245
9,Windows,24,5.0,30,55,16,GDDR6,2000,32,5,2048,17.3,2560,2.927
858,Windows,12,4.2,16,15,0,,0,16,4,512,13.3,1920,1.443
298,Windows,16,4.7,16,35,8,GDDR6,1750,32,5,2048,16.0,2560,2.1
499,Windows,20,4.7,24,45,6,GDDR6,1750,16,4,512,16.1,1920,2.31
618,Windows,16,4.8,18,28,0,,0,16,4,512,14.0,1920,1.489
274,Windows,20,4.7,24,45,6,GDDR6,1750,16,5,1024,16.0,2560,1.9
855,Windows,4,4.1,6,28,0,,0,8,4,256,15.6,1920,1.855
402,Windows,16,4.6,24,35,6,GDDR6,1750,16,4,1024,15.6,3840,2.0
1375,Windows,16,4.6,16,45,8,GDDR6,1750,64,4,2048,15.6,2560,2.314
1223,Windows,4,3.5,4,15,0,,0,4,4,128,15.6,1920,1.8
599,Windows,24,5.0,30,55,16,GDDR6,2000,32,5,1024,16.0,2560,2.567
1431,Windows,8,4.7,12,28,2,GDDR6,1250,16,4,1024,14.0,1920,1.29
328,Windows,20,4.7,24,45,4,GDDR6,1500,16,5,512,16.0,3072,2.053
868,Windows,16,4.6,24,35,4,GDDR6,1375,16,4,512,17.3,1920,3.565
1711,Windows,8,4.7,12,28,2,GDDR6,1250,16,4,1024,14.0,1920,1.413
1687,Windows,8,4.2,8,28,0,,0,8,4,512,13.3,3840,1.223
765,Windows,20,4.7,24,45,8,GDDR6,1750,16,4,1024,15.6,2560,2.38
1672,Windows,8,4.8,12,28,0,,0,16,4,512,14.0,1920,1.2
685,Windows,16,4.7,16,45,10,GDDR6,2000,16,5,1024,16.0,2560,2.53
1201,Windows,8,4.7,12,28,2,GDDR6,1250,16,4,512,14.0,2560,1.46
1903,MacOS,10,3.2,48,30,0,,0,32,4,512,14.2,3024,1.6
935,Windows,8,4.7,12,28,0,,0,16,4,512,14.0,1920,1.43
756,Windows,12,4.2,16,45,4,GDDR6,1750,16,4,512,15.6,1920,2.32
42,Windows,8,4.4,8,32,0,,0,8,4,512,16.1,1920,1.75
416,Windows,16,4.6,24,35,4,GDDR6,1250,16,4,512,15.6,1920,1.974
1636,Windows,12,4.0,8,15,0,,0,8,4,512,15.6,1920,1.75
4,Windows,16,4.9,16,45,8,GDDR6,2000,16,5,1024,16.0,2560,2.181
1587,Windows,8,4.2,8,28,0,,0,16,4,256,13.3,1920,1.2
317,Windows,8,4.7,12,28,0,,0,16,4,512,15.6,1920,1.73
708,Windows,12,4.2,16,45,4,GDDR5,2001,16,4,512,15.6,1920,2.25
1630,Windows,8,4.8,12,28,0,,0,16,4,512,13.3,1920,1.29
120,Windows,16,4.7,18,28,4,GDDR6,1750,16,4,1024,15.6,1920,1.76
1049,Windows,16,4.4,16,15,0,,0,16,4,512,14.0,2880,1.38
1151,Windows,6,4.0,11,25,0,,0,8,4,512,14.0,1920,1.3
376,Windows,12,4.4,12,15,0,,0,16,4,256,15.6,1920,1.59
844,Windows,16,4.4,16,45,0,,0,16,4,512,16.0,2520,1.99
658,Windows,16,4.7,18,28,0,,0,32,5,2048,14.0,2880,1.12
121,Windows,12,4.4,12,15,0,,0,16,4,512,15.6,1920,1.76
266,Windows,16,4.7,16,45,8,GDDR6,1750,16,5,1024,15.6,2560,2.2
1104,Windows,16,5.1,16,45,8,GDDR6,1750,16,4,512,17.3,1920,2.64
22,Windows,20,4.7,24,45,8,GDDR6,1750,16,4,1024,15.6,2560,2.453
158,Windows,16,4.4,16,45,0,,0,16,4,512,14.0,2880,1.4
631,Windows,12,4.2,16,45,6,GDDR6,1750,16,4,512,17.3,1920,3.067
388,Windows,8,4.7,12,28,0,,0,16,4,512,15.6,1920,1.73
225,Windows,4,4.1,6,28,0,,0,4,4,128,14.0,1920,1.5
1181,Windows,16,5.0,24,45,8,GDDR6,1750,32,4,2048,17.3,1920,2.9
1477,Windows,12,4.0,8,15,0,,0,8,4,512,14.0,1920,1.5
1551,Windows,2,2.8,4,6,0,,0,4,4,128,15.6,1920,1.63
164,Windows,20,4.7,24,45,6,GDDR6,1750,16,5,1024,15.6,1920,2.077
1830,Windows,12,4.2,16,45,6,GDDR6,1750,16,4,512,15.6,1920,2.46
1889,Windows,8,3.6,6,15,0,,0,8,4,512,15.6,1366,1.69
600,Windows,20,4.8,24,28,0,,0,16,4,1024,14.0,2880,1.389
1225,Windows,16,4.4,16,45,8,GDDR6,1750,16,4,1024,15.6,2560,2.3
1178,Windows,8,4.1,6,45,6,GDDR6,1750,16,4,512,15.6,1920,1.86
405,Windows,12,4.7,12,9,0,,0,8,4,512,13.3,1920,1.393
1625,Windows,8,4.2,8,28,0,,0,8,4,256,15.6,1920,1.59
842,Windows,16,5.0,24,35,8,GDDR6,1750,32,4,1024,16.0,3840,1.86
1315,Windows,16,4.6,24,35,8,GDDR6,1750,16,4,512,15.6,1920,2.3
1660,Windows,16,4.6,24,35,8,GDDR6,1750,32,4,1024,17.3,3840,2.5
1391,Windows,8,4.7,12,28,0,,0,16,4,512,14.0,1920,1.3
1320,Windows,12,5.0,12,45,4,GDDR5,2001,16,4,512,15.6,1920,2.3
18,Windows,8,4.8,12,28,0,,0,16,4,512,14.0,1920,1.165
41,Windows,16,4.7,18,28,0,,0,16,5,1024,14.0,2560,1.2
1096,Windows,8,4.7,12,28,0,,0,8,4,512,15.6,1920,1.6
664,Windows,16,5.0,24,35,8,GDDR6,1500,32,4,1024,15.6,1920,2.67
659,Windows,12,4.7,12,15,0,,0,16,5,512,14.0,1920,1.12
126,Windows,8,4.2,8,28,0,,0,8,4,512,15.6,1920,1.9
961,Windows,12,4.2,16,45,0,,0,16,4,512,14.0,2240,1.32
1651,Windows,16,5.0,16,45,4,GDDR6,1500,16,4,512,15.6,1920,2.65
1220,Windows,4,3.5,4,15,0,,0,8,4,256,14.0,1920,1.5
876,Windows,16,4.6,16,45,0,,0,16,4,1024,14.0,2880,1.32
825,Windows,20,5.0,24,45,16,GDDR6,2000,32,5,2048,16.0,2560,2.3
1118,Windows,16,5.3,16,45,8,GDDR6,1750,32,4,2048,15.6,1920,2.38
529,Windows,16,4.5,16,15,0,,0,16,4,512,14.0,1920,1.37
1663,Windows,16,4.6,24,35,8,GDDR6,1750,16,4,512,16.1,1920,2.37
230,Windows,16,4.5,18,45,0,,0,8,4,512,15.6,1920,1.7
998,Windows,16,4.6,24,35,6,GDDR6,1375,32,4,512,15.6,1920,2.87
3,Windows,20,4.7,24,45,6,GDDR6,1750,16,5,1024,16.0,2560,2.206
838,Linux,16,4.3,8,15,0,,0,8,4,512,15.6,1920,1.724
261,Windows,12,4.5,12,35,6,GDDR6,1750,16,4,512,15.6,1920,2.3
448,Windows,12,4.4,12,45,4,GDDR5,2001,8,4,512,15.6,1920,2.29
342,Windows,16,4.7,18,28,0,,0,32,4,1024,13.4,3840,1.242
797,Windows,20,4.8,24,28,4,GDDR6,1500,32,4,1024,15.6,3840,1.69
1034,Windows,16,4.2,12,54,4,GDDR5,2001,16,4,512,15.6,1920,2.2
1680,Windows,8,4.7,12,28,0,,0,16,4,1024,13.5,3000,1.34
933,Windows,8,4.7,12,28,0,,0,16,4,1024,15.6,1920,1.9
82,Windows,16,4.4,16,45,8,GDDR6,1750,16,4,1024,17.3,1920,2.7
893,Windows,8,4.8,12,28,0,,0,16,4,1024,14.0,3840,1.459
66,Windows,16,4.6,24,35,6,GDDR6,1750,16,4,1024,15.6,2560,2.1
285,Windows,20,5.0,24,45,8,GDDR6,1750,16,5,1024,15.6,1920,2.4
205,Windows,12,4.2,16,45,0,,0,16,4,512,15.6,1920,1.65
132,Windows,8,4.2,8,28,0,,0,8,4,256,14.0,1920,1.55
495,Windows,16,4.4,16,45,8,GDDR6,1750,16,4,1024,16.1,2560,2.31
320,Windows,2,2.8,4,6,0,,0,8,4,128,11.6,1366,1.23
1442,Windows,12,4.0,11,54,4,GDDR5,2001,8,4,512,15.6,1920,2.3
337,Windows,12,4.7,12,15,0,,0,16,4,512,14.0,1920,1.624
774,Windows,20,4.8,24,28,0,,0,16,5,1024,13.4,1920,1.35
400,Windows,16,4.6,16,45,8,GDDR6,1750,16,4,512,15.6,1920,2.189
418,Windows,16,4.4,16,45,8,GDDR6,1750,16,4,1024,16.1,2560,2.25
1787,Windows,12,4.2,16,45,4,GDDR5,2001,8,4,512,15.6,1920,2.25
1543,Windows,16,4.4,16,35,6,GDDR6,1750,16,4,512,15.6,1920,2.3
871,Windows,16,4.4,16,45,4,GDDR6,1500,16,4,512,15.6,1920,2.4
1471,Windows,12,4.0,8,15,0,,0,8,4,512,14.0,1920,1.4
667,Windows,12,4.4,12,15,0,,0,16,4,512,14.0,1920,1.39
1704,Windows,6,4.0,11,25,0,,0,8,4,512,15.6,1920,1.75
1409,Windows,8,4.2,8,28,0,,0,8,4,512,14.0,1920,1.3
1753,Windows,12,4.5,12,35,4,GDDR6,1500,16,4,1024,16.1,1920,2.46
888,Windows,16,4.6,16,45,8,GDDR6,1750,32,4,1024,16.0,2560,2.496
854,Windows,8,4.2,8,28,0,,0,16,4,512,14.0,2160,1.49
1254,Windows,8,4.2,8,28,0,,0,8,4,512,14.0,1920,1.005
1150,Windows,8,4.7,12,28,2,GDDR6,1250,16,4,1024,15.6,1920,1.6
1620,Windows,8,4.2,8,28,2,GDDR6,1250,8,4,512,15.6,1920,1.59
323,Windows,20,5.0,24,45,4,GDDR6,1375,32,4,1024,14.0,2560,1.621
93,Windows,16,4.6,24,35,6,GDDR6,1750,16,4,512,15.6,1920,2.2
937,Windows,8,4.4,12,15,0,,0,16,4,512,13.0,2160,0.946
773,Windows,20,4.8,24,28,0,,0,16,5,1024,14.0,1920,1.6
1852,Windows,8,4.2,12,25,0,,0,16,4,512,13.3,1920,1.32
517,Windows,16,4.6,24,35,4,GDDR6,1500,16,4,1024,15.6,1920,2.18
1238,Windows,12,5.0,12,45,8,GDDR6,1375,32,4,1024,15.6,3840,2.5
863,Windows,8,4.8,12,32,0,,0,16,4,1024,14.0,2880,1.389
576,Windows,20,4.7,24,45,0,,0,16,4,512,16.0,1920,1.7
964,Windows,8,4.2,8,28,0,,0,16,4,1024,15.6,1920,1.85
1108,Windows,12,4.0,11,54,4,GDDR6,1750,8,4,512,15.6,1920,1.86
14,Windows,20,5.0,24,45,6,GDDR6,1750,32,4,1024,14.0,2880,1.734
979,Windows,4,3.9,6,15,0,,0,8,4,256,12.3,1920,1.1
178,Windows,8,4.7,12,28,0,,0,16,4,512,15.6,1920,1.3
578,Windows,12,4.0,8,15,0,,0,8,4,512,15.6,1920,1.607
272,Windows,20,5.0,24,45,16,GDDR6,2000,32,5,2048,16.0,2560,1.9
771,Windows,16,4.7,18,28,4,GDDR6,1500,32,5,1024,16.0,2560,1.9
1401,Windows,16,4.4,16,45,8,GDDR6,1750,16,4,1024,15.6,1920,2.3
1055,Windows,12,4.0,8,15,0,,0,8,4,512,17.3,1600,2.1
706,Windows,16,4.5,18,45,4,GDDR6,1500,16,4,512,15.6,1920,2.315
1670,Windows,8,4.7,12,28,0,,0,32,4,1024,15.6,1920,1.75
866,Windows,16,4.6,24,35,4,GDDR6,1250,16,4,512,16.0,2560,1.842
1368,Windows,12,4.0,8,15,0,,0,8,4,256,15.6,1920,1.8
1641,Windows,16,4.3,8,15,0,,0,16,4,512,14.0,1920,1.65
660,Windows,16,4.4,12,28,0,,0,16,4,512,16.0,1920,1.655
763,Windows,20,5.0,24,45,8,GDDR6,1750,32,4,1024,17.3,1920,2.8
1769,Windows,8,4.2,12,25,0,,0,16,4,512,13.3,1920,0.99
555,Windows,16,4.3,8,15,0,,0,8,4,256,15.6,1920,1.69
235,Windows,16,4.3,8,15,0,,0,16,4,512,15.6,1920,1.8
598,Windows,12,4.5,16,35,0,,0,16,4,512,16.0,2560,1.944
1677,Windows,8,4.7,12,28,2,GDDR6,1250,16,4,1024,15.6,1920,1.747
1665,Windows,16,4.4,16,45,6,GDDR6,1750,16,4,1024,16.1,1920,2.473
988,Windows,8,4.7,12,28,0,,0,16,4,512,14.0,1920,1.13
885,Windows,8,4.7,12,28,2,GDDR6,1250,32,4,1024,15.6,3840,1.851
612,Windows,8,4.7,12,28,2,GDDR5,1752,16,4,512,17.3,1920,2.157
614,Windows,16,4.4,12,28,0,,0,16,4,512,14.0,1920,1.193
926,Windows,12,5.1,12,45,4,GDDR5,1751,16,4,512,15.6,1920,1.71
827,Windows,20,4.7,24,45,4,GDDR6,1500,16,4,1024,16.0,2560,2.26
1180,Windows,16,4.6,24,35,8,GDDR6,1750,32,4,2048,17.3,1920,2.9
311,Windows,8,4.5,8,28,0,,0,16,4,512,14.0,2560,1.49
654,Windows,16,4.7,18,28,0,,0,32,5,1024,14.0,3840,1.38
1116,Windows,4,4.1,6,28,0,,0,8,4,512,14.0,1920,1.3
1226,Windows,16,4.4,16,45,8,GDDR6,1750,32,4,1024,17.3,1920,2.7
180,Windows,8,4.7,12,28,0,,0,16,4,1024,13.3,1920,1.3
1874,Windows,8,4.7,12,28,0,,0,16,4,512,13.3,1920,0.99
210,Windows,8,4.8,12,32,0,,0,16,4,512,15.6,1920,1.65
1629,Windows,8,4.7,12,28,0,,0,16,4,512,14.0,1920,1.4
168,Windows,8,5.0,12,28,0,,0,16,4,1024,14.0,1900,1.44
1300,Windows,8,4.4,8,32,6,GDDR6,1750,16,4,512,14.0,1920,1.7
1627,Windows,8,4.2,8,28,0,,0,8,4,256,14.0,1920,1.27
1515,Windows,8,4.8,12,32,6,GDDR6,1750,16,4,1024,15.6,1920,2.0
1615,Windows,4,4.1,6,28,0,,0,8,4,256,15.6,1920,1.64
1137,Windows,16,4.6,24,35,8,GDDR6,1750,16,4,512,15.6,1920,2.3
1362,Windows,4,3.4,4,15,0,,0,8,4,256,17.3,1600,2.7
338,Windows,20,4.7,24,45,4,GDDR6,1500,32,5,512,17.0,3840,2.474
692,Windows,12,4.5,12,35,6,GDDR6,1750,16,4,1024,17.3,1920,2.98
1395,Windows,8,4.2,8,28,0,,0,8,4,512,14.0,1920,1.5
1652,Windows,16,5.0,16,45,6,GDDR6,1750,16,4,512,15.6,1920,2.65
516,Windows,20,4.7,24,45,6,GDDR6,1750,16,5,1024,16.0,2560,2.32
622,Windows,12,4.0,8,15,0,,0,8,4,512,15.6,1920,1.64
355,Windows,8,4.7,12,28,0,,0,16,4,512,13.3,1920,1.23
1444,Windows,16,4.4,16,35,6,GDDR6,1750,16,4,1024,14.0,1920,1.7
738,Windows,16,4.7,18,28,0,,0,16,5,512,17.0,2560,1.35
675,Windows,16,4.3,8,15,0,,0,16,4,512,15.6,1920,1.7
628,Windows,16,4.6,16,35,2,GDDR6,1250,16,4,1024,14.0,2880,1.374
1235,Windows,8,4.5,6,45,4,GDDR6,1500,8,4,256,15.6,1920,2.3
747,Windows,24,5.0,30,55,16,GDDR6,2000,64,5,2048,17.3,3840,3.385
1373,Windows,2,2.8,4,6,0,,0,4,4,512,11.6,1366,1.4
1423,Windows,8,4.7,12,28,0,,0,16,4,1024,14.0,1920,0.995
140,Windows,4,3.3,4,6,0,,0,4,4,128,14.0,1920,1.6
1386,Windows,16,4.6,16,45,8,GDDR6,1750,32,4,1024,17.3,1920,2.7
367,Windows,20,4.7,24,45,4,GDDR6,1375,16,5,512,17.3,3840,2.57
425,Windows,8,4.2,8,28,0,,0,8,4,256,14.0,1920,1.35
1367,Windows,8,4.2,8,28,0,,0,8,4,512,14.0,1920,1.483
116,Windows,16,4.4,12,28,4,GDDR6,1500,8,4,512,15.6,1920,2.1
848,Windows,8,4.7,12,28,0,,0,16,4,512,14.0,2160,1.49
983,Windows,8,4.4,12,15,0,,0,16,4,1024,13.5,2256,1.15
957,Windows,8,4.2,8,28,0,,0,16,4,512,14.0,1920,1.29
778,Windows,20,5.0,24,45,16,GDDR6,2000,64,5,2048,15.6,3840,2.1
1877,Windows,4,4.1,6,28,0,,0,4,4,128,15.6,1920,1.69
1571,Windows,8,4.7,12,28,0,,0,16,4,512,13.4,1920,1.33
640,Windows,16,4.4,16,45,0,,0,16,4,1024,14.0,2880,1.39
878,Windows,16,4.4,16,15,0,,0,16,4,512,14.0,1920,1.673
714,Windows,12,4.0,8,15,0,,0,16,4,256,14.0,1920,1.5
970,Windows,16,4.4,16,15,0,,0,16,4,512,13.3,2560,1.21
1065,Windows,12,4.0,8,15,0,,0,8,4,256,15.6,1920,1.65
836,Linux,8,4.2,8,28,0,,0,8,4,256,15.6,1920,1.9
1609,Windows,12,5.0,12,45,4,GDDR6,1500,16,4,1024,15.6,3840,2.05
636,Windows,16,4.7,16,35,4,GDDR6,1500,16,5,1024,14.5,3072,1.45
80,Windows,16,4.6,24,35,4,GDDR6,1500,16,4,256,17.3,1920,2.7
865,Windows,8,4.0,8,15,0,,0,16,4,512,13.3,2560,1.171
282,Windows,24,5.0,30,55,16,GDDR6,2000,32,4,512,17.3,2560,3.1
1671,Windows,16,4.4,16,15,0,,0,16,4,512,13.3,1920,0.953
201,Windows,8,4.8,12,32,4,GDDR6,1500,16,4,1024,16.1,3840,1.95
877,Windows,16,4.3,8,15,0,,0,16,4,1024,15.6,1920,1.808
1319,Windows,12,5.0,12,45,6,GDDR6,1750,16,4,1024,15.6,1920,2.3
1076,Windows,8,4.7,12,28,0,,0,16,4,1024,14.0,1920,0.967
12,Windows,16,4.5,18,45,0,,0,16,4,1024,14.0,2880,1.364
1184,Windows,16,5.0,16,45,8,GDDR6,1750,16,4,1024,17.3,1920,2.9
1862,Windows,8,4.7,12,28,4,GDDR6,1250,16,4,1024,14.0,1920,1.49
588,Windows,16,4.75,16,28,0,,0,32,4,1024,13.3,2880,1.289
423,Windows,16,4.6,24,35,4,GDDR6,1375,32,4,1024,15.6,3840,2.35
370,Windows,12,4.8,12,15,2,GDDR6,1250,32,5,512,15.6,1920,1.59
890,Windows,8,4.7,12,28,0,,0,16,4,1024,13.3,2560,1.221
85,Windows,20,4.7,24,45,4,GDDR6,1500,16,4,1024,15.6,1920,2.5
1227,Windows,16,4.4,16,45,8,GDDR6,1750,16,4,1024,17.3,1920,2.7
1321,Windows,8,4.5,6,45,4,GDDR5,2001,8,4,512,15.6,1920,2.3
252,Windows,8,4.2,8,28,0,,0,8,4,512,14.0,1920,1.55
1700,Windows,8,4.2,8,28,0,,0,8,4,512,14.0,1920,1.41
53,Windows,12,4.0,8,15,0,,0,8,4,512,14.0,1920,1.2
407,Windows,12,4.8,12,15,4,GDDR6,1500,32,5,1024,16.0,1920,1.978
52,Windows,8,3.8,4,15,0,,0,8,4,512,14.0,1920,1.2
458,Windows,16,4.5,16,15,0,,0,16,4,512,15.6,1920,1.74
1863,Windows,8,4.2,8,28,0,,0,8,4,512,13.3,1920,1.24
1868,Windows,8,4.7,12,28,0,,0,16,4,512,14.0,1920,1.32
873,Windows,8,4.4,8,32,2,GDDR6,1250,16,4,512,16.0,2560,1.9
457,Windows,12,4.2,16,15,0,,0,16,4,512,13.3,1920,1.45
1217,Windows,16,4.6,16,45,8,GDDR6,1750,16,4,512,17.3,1920,2.53
906,Windows,8,4.4,12,15,0,,0,16,4,512,12.3,1920,1.107
312,Windows,8,4.2,8,28,0,,0,16,4,512,13.3,1920,1.25
829,Windows,16,4.6,24,35,6,GDDR6,1750,16,4,512,15.6,3840,2.1
1379,Windows,8,4.7,12,28,0,,0,16,4,1024,13.3,1920,1.188
219,Windows,8,4.4,8,32,0,,0,8,4,256,14.0,2880,1.4
851,Windows,8,4.2,6,25,0,,0,16,4,512,14.0,1920,1.38
852,Windows,8,4.2,6,25,2,GDDR5,1502,8,4,512,14.0,1920,1.38
1387,Windows,8,4.2,8,28,4,LPDDR4X,2133,8,4,512,14.0,1920,1.5
1294,Windows,16,4.6,24,35,6,GDDR6,1750,16,4,512,16.0,2560,2.45
880,Windows,12,4.0,8,15,0,,0,16,4,512,14.0,1920,1.591
214,Windows,12,4.2,16,45,4,GDDR6,1500,16,4,512,14.0,2880,1.45
142,Windows,8,4.8,12,32,4,GDDR6,1500,16,4,512,16.0,3840,1.969
945,Windows,8,4.9,8,25,0,,0,16,3,512,14.0,1920,1.09
234,Windows,16,4.4,12,28,0,,0,16,4,512,15.6,1920,1.7
1211,Windows,6,4.0,11,25,0,,0,8,4,256,15.6,1920,1.69
232,Windows,8,4.2,8,28,0,,0,8,4,512,15.6,1920,1.8
657,Windows,16,4.6,24,35,4,GDDR6,1500,32,4,1024,16.0,3840,1.86
752,Windows,20,5.0,24,45,16,GDDR6,2000,32,5,2048,15.6,3840,2.436
174,Windows,20,5.0,24,45,4,GDDR6,1500,32,5,2048,14.5,2880,1.75
966,Windows,8,4.2,8,28,0,,0,16,4,512,14.0,1920,1.36
597,Windows,20,4.7,24,45,0,,0,16,4,512,17.3,3072,1.977
662,Windows,16,5.0,24,35,16,GDDR6,1750,32,4,1024,17.3,3840,3.37
1731,Windows,8,4.2,8,28,0,,0,16,4,512,15.6,1920,1.74
514,Windows,16,4.7,18,28,0,,0,16,4,1024,17.3,1920,1.84
1314,Windows,16,4.6,24,35,4,GDDR6,1500,16,4,512,15.6,1920,2.3
1416,Windows,8,3.6,6,15,0,,0,8,4,512,13.3,1920,1.182
1901,MacOS,10,3.2,24,15,0,,0,16,4,1024,16.2,3456,2.153
1066,Windows,4,3.5,4,15,0,,0,4,4,128,15.6,1366,1.85
156,Windows,20,5.0,24,45,8,GDDR6,1750,32,5,2048,15.6,2560,2.3
160,Windows,8,3.9,8,15,0,,0,16,4,512,17.3,1920,2.2
793,Windows,20,4.7,24,45,8,GDDR6,1750,16,4,1024,15.6,2560,2.3
1869,Windows,8,4.2,6,25,0,,0,8,4,256,14.0,1920,1.32
781,Windows,20,4.8,24,28,6,GDDR6,1750,16,4,1024,15.6,1920,1.85
686,Windows,16,4.4,16,45,8,GDDR6,1750,16,4,1024,16.0,2560,2.5
21,Windows,8,4.5,8,28,4,GDDR6,1500,16,4,512,16.1,1920,1.82
336,Windows,12,4.5,12,45,4,GDDR6,1500,16,4,512,15.6,1920,2.47
99,Windows,8,4.7,12,28,0,,0,16,4,1024,14.0,1920,1.86
532,Windows,8,4.2,8,28,0,,0,16,4,512,17.3,1920,2.08
202,Windows,16,4.4,16,45,4,GDDR6,1500,16,4,1024,16.0,3840,1.95
1724,Windows,12,4.9,12,25,0,,0,16,4,512,14.0,1920,1.361
1077,Windows,8,4.7,12,28,0,,0,16,4,512,16.0,2560,1.454
33,Windows,16,4.7,18,28,4,GDDR6,1500,16,5,1024,14.0,2240,1.4
962,Windows,16,4.4,16,45,0,,0,16,4,512,14.0,2880,1.32
